Actimel. mleko jogurtowe, 88 kcal, 2.7 g, 1.5 g, 16.0 g
Fasolka flageolet konserwowa, 61 kcal, 6.3 g, 0.2 g, 15.0 g
Fasolka po bretońsku, 141 kcal, 8.0 g, 6.6 g, 15.9 g
Fasolka szparagowa, 97 kcal, 2.9 g, 6.9 g, 10.3 g
Fasolka szparagowa. mrożona, 24 kcal, 2.2 g, 0.2 g, 6.8 g
Ferrero Rocher. czekoladki, 562 kcal, 9.0 g, 40.2 g, 41.0 g
Figi suszone, 290 kcal, 3.6 g, 1.2 g, 78.0 g
Flaki wołowe suche, 84 kcal, 16.0 g, 2.2 g, 0.0 g
Flaki wołowe na rosole, 71 kcal, 4.6 g, 4.2 g, 3.7 g
Flądra świeża, 83 kcal, 16.5 g, 1.8 g, 0.0 g
Flora. margaryna, 328 kcal, 0.1 g, 35.0 g, 3.2 g
Frytki mrożone, 172 kcal, 2.5 g, 5.5 g, 28.0 g
Frytki Z frytkownicy, 252 kcal, 3.0 g, 12.0 g, 33.0 g
Frytki Z piekarnika, 231 kcal, 3.5 g, 5.0 g, 37.0 g
Galaretka Z nóżek wieprzowych, 202 kcal, 16.9 g, 14.9 g, 0.8 g
Gęś. tuSZka, 339 kcal, 14.1 g, 31.8 g, 0.0 g
Gin. alkohol, 225 kcal, 0.0 g, 0.0 g, 0.0 g
Golden Nut. czekoladki, 576 kcal, 6.0 g, 39.0 g, 50.2 g
Golonka wieprzowa ze skórą, 297 kcal, 18.6 g, 24.7 g, 0.0 g
Gołąbki tradycyjne, 108 kcal, 3.6 g, 6.7 g, 10.0 g
Granat, 65 kcal, 2.4 g, 0.4 g, 13.2 g
Grejpfrut, 36 kcal, 0.6 g, 0.2 g, 9.8 g
Groch. suche nasiona, 293 kcal, 23.8 g, 1.4 g, 60.2 g
Groszek Zielony, 75 kcal, 6.7 g, 0.4 g, 17.0 g
Groszek Zielony. konserwowy, 63 kcal, 4.9 g, 0.2 g, 15.8 g
Groszek Zielony mrożony, 72 kcal, 6.4 g, 0.4 g, 16.3 g
Groszek Zielony Z masłem, 100 kcal, 3.7 g, 6.8 g, 9.3 g
Gruszka, 54 kcal, 0.6 g, 0.2 g, 14.4 g
Gruszka suszona, 329 kcal, 0.7 g, 0.5 g, 80.4 g
Gruszki W sosie waniliowym, 151 kcal, 1.6 g, 1.1 g, 34.8 g
Gulasz wołowy, 148 kcal, 14.0 g, 9.2 g, 2.6 g
Grześki. wafle, 550 kcal, 8.5 g, 34.5 g, 51.5 g
Halibut biały. świeży, 98 kcal, 20.1 g, 1.9 g, 0.0 g
Hamburger, 268 kcal, 11.4 g, 9.5 g, 34.3 g
Hamburger BicMac McDonald, 273 kcal, 11.4 g, 15.1 g, 22.8 g
Hamburger McChicken McDonald, 295 kcal, 9.7 g, 15.9 g, 28.3 g
Herbata beZ cukru, 0 kcal, 0.1 g, 0.0 g, 0.0 g
Herbatniki, 437 kcal, 8.2 g, 11.0 g, 76.8 g
Herbatniki Corso, 440 kcal, 5.0 g, 17.2 g, 67.1 g
Herbatniki kakaowe, 474 kcal, 6.9 g, 22.3 g, 62.9 g
Herbatniki kokosowe, 473 kcal, 6.4 g, 25.2 g, 59.8 g
Herbatniki sezamowe, 503 kcal, 8.1 g, 28.6 g, 55.7 g
Herbatniki W czekoladzie, 489 kcal, 6.3 g, 24.0 g, 63.1 g
Herbatniki Z cukrem, 460 kcal, 6.7 g, 17.2 g, 70.7 g
Herbatniki Z nadzieniem owocowym, 389 kcal, 3.8 g, 16.1 g, 58.6 g
Homar, 85 kcal, 18.8 g, 0.9 g, 0.5 g
Indyk. mięso Z piersi beZ skóry, 84 kcal, 19.2 g, 0.7 g, 0.0 g
Indyk. mięso Z podudzia ze skórą, 142 kcal, 15.7 g, 8.9 g, 0.0 g
Indyk. udko ze skórą, 131 kcal, 18.4 g, 6.4 g, 0.0 g
Indyk. skrzydełko, 168 kcal, 16.5 g, 11.4 g, 0.0 g
Irysy. cukierki, 418 kcal, 4.3 g, 10.7 g, 76.1 g
Jabłko, 46 kcal, 0.4 g, 0.4 g, 12.1 g
Jabłko pieczone, 93 kcal, 0.3 g, 1.6 g, 20.8 g
Jabłko suszone, 238 kcal, 2.1 g, 2.1 g, 62.3 g
Jabłko W kruchym cieście, 348 kcal, 4.1 g, 17.4 g, 45.3 g
Jagnięcina, 126 kcal, 20.4 g, 4.9 g, 0.0 g
Jagody, 62 kcal, 1.1 g, 0.9 g, 12.2 g
Jagodowy dżem. niskosłodzony, 153 kcal, 0.3 g, 0.2 g, 38.2 g
Jagodzianki, 314 kcal, 7.1 g, 5.4 g, 60.6 g
Jajko kurze. białko, 46 kcal, 10.8 g, 0.0 g, 0.8 g
Jajko kurze. całe, 150 kcal, 12.5 g, 10.7 g, 1.0 g
Jajko kurze. Żółtko, 355 kcal, 16.3 g, 31.9 g, 0.7 g
Jajko sadzone, 181 kcal, 10.1 g, 15.2 g, 0.9 g
Jajko smażone. jajecznica, 131 kcal, 10.0 g, 9.7 g, 0.8 g
JałOWCÓWka. Wódka, 226 kcal, 0.0 g, 0.0 g, 0.0 g
Jarmuż, 29 kcal, 3.3 g, 0.7 g, 6.1 g
Jarzyny mrożone, 30 kcal, 2.8 g, 0.3 g, 7.5 g
Jeżyki. ciastka, 457 kcal, 5.0 g, 21.3 g, 61.2 g
Jeżyny, 71 kcal, 1.2 g, 0.4 g, 15.7 g
Jogurt bananowy 1.5%, 70 kcal, 3.7 g, 1.5 g, 10.4 g
Jogurtjagodowy 1.5%, 62 kcal, 3.7 g, 1.5 g, 8.8 g
Jogurt morelowy 1.5%, 63 kcal, 4.2 g, 0.0 g, 6.2 g
Jogurt naturalny 0.0%, 42 kcal, 3.7 g, 1.5 g, 8.8 g
Jogurt naturalny 2.0%, 60 kcal, 4.3 g, 2.0 g, 6.2 g
Jogurt owocowy 2.7%, 99 kcal, 3.3 g, 2.7 g, 13.7 g
Jogurt truskawkowy 1.5%, 60 kcal, 3.7 g, 1.5 g, 8.2 g
Jogurt Wiśniowy 1.5%, 61 kcal, 3.7 g, 1.5 g, 8.2 g
Kabanosy, 326 kcal, 27.4 g, 24.3 g, 0.0 g
Kabanosy Z kurczaka, 247 kcal, 22.8 g, 17.4 g, 0.1 g
Kaczka. tuSZka, 308 kcal, 13.5 g, 28.6 g, 0.0 g
Kakako W proszku 16%, 448 kcal, 18.2 g, 21.7 g, 50.6 g
Kalafior, 22 kcal, 2.4 g, 0.2 g, 0.5 g
Kalafior mrożony, 20 kcal, 2.2 g, 0.2 g, 4.5 g
Kalafior Z WOdy, 33 kcal, 2.0 g, 6.8 g, 5.5 g
Kalarepa, 29 kcal, 2.2 g, 0.3 g, 6.5 g
Kapusta biała, 29 kcal, 1.7 g, 0.2 g, 7.4 g
Kapusta biała zasmażana, 69 kcal, 1.6 g, 4.7 g, 7.2 g
Kapusta czerwona, 27 kcal, 1.9 g, 0.2 g, 6.7 g
Kapusta kwaszona, 12 kcal, 1.1 g, 0.2 g, 3.4 g
Kapusta pekińska, 12 kcal, 1.2 g, 0.2 g, 3.2 g
Kapusta Włoska, 38 kcal, 3.3 g, 0.4 g, 7.8 g
Kapuśniak Z kapusty kwaszonej, 21 kcal, 1.4 g, 1.2 g, 1.6 g
Kapuśniak Z kapusty słodkiej, 31 kcal, 0.7 g, 2.1 g, 3.2 g
Karmelki nadziewane, 378 kcal, 0.3 g, 0.5 g, 92.0 g
Karmelki twarde, 399 kcal, 0.0 g, 0.0 g, 98.2 g
Karp świeży, 110 kcal, 18.0 g, 4.2 g, 0.0 g
Karp W galarecie Z warZ., 137 kcal, 26.1 g, 2.9 g, 2.1 g
Karp Z WOdy, 102 kcal, 16.0 g, 3.7 g, 2.0 g
Kasza gryczana, 336 kcal, 12.6 g, 3.1 g, 69.3 g
Kasza gryczana na sypko, 132 kcal, 4.5 g, 2.3 g, 25.0 g
Kasza jaglana, 346 kcal, 10.5 g, 2.9 g, 71.6 g
Kaszajęczm. na mleku, 63 kcal, 2.6 g, 2.2 g, 8.5 g
Kaszajęczm. perłowa, 327 kcal, 6.9 g, 2.2 g, 75.0 g
Kaszajęczm. pęczak, 334 kcal, 8.4 g, 2.0 g, 74.9 g
Kasza manna, 348 kcal, 8.7 g, 1.3 g, 76.7 g
Kasza manna na mleku, 67 kcal, 2.7 g, 2.1 g, 9.3 g
Kasza mana na wywarze jarzynowym, 21 kcal, 0.5 g, 0.8 g, 3.4 g
Kasza perłowa na sypko, 115 kcal, 2.2 g, 2.0 g, 23.6 g
Kaszanka Z kurczaka, 204 kcal, 9.8 g, 11.7 g, 16.4 g
Kawa beZ cukru, 2 kcal, 0.2 g, 0.0 g, 0.3 g
Kefir 2%, 51 kcal, 3.4 g, 2.0 g, 4.7 g
Keks bakaliowy, 384 kcal, 6.4 g, 17.6 g, 53.5 g
Ketchup, 93 kcal, 27.4 g, 24.3 g, 0.0 g
Kiełbasa jałowcowa, 236 kcal, 19.0 g, 17.9 g, 0.1 g
Kiełbasa krakowska sucha, 323 kcal, 25.6 g, 24.8 g, 0.0 g
Kiełbasa mazurska, 129 kcal, 14.8 g, 7.7 g, 0.1 g
Kiełbasa mortadela, 205 kcal, 12.0 g, 17.7 g, 0.0 g
Kiełbasa myśliwska sucha, 291 kcal, 27.8 g, 20.1 g, 0.0 g
Kiełbasa paróWka, 323 kcal, 11.0 g, 31.5 g, 0.0 g
Kiełbasa podlaska, 232 kcal, 20.7 g, 16.7 g, 0.1 g
Kiełbasa podsuszana, 247 kcal, 17.3 g, 19.6 g, 0.9 g
Kiełbasa podwawelska, 247 kcal, 17.3 g, 19.6 g, 0.9 g
Kiełbasa szynk. Z indyka, 88 kcal, 17.2 g, 2.0 g, 0.2 g
Kiełbasa szynk. Z kurCZ., 110 kcal, 16.2 g, 5.0 g, 0.0 g
Kiełbasa śląska, 210 kcal, 18.4 g, 15.3 g, 0.0 g
Kiełbasa toruńska, 263 kcal, 20.9 g, 20.1 g, 0.0 g
Kiełbasa zwyczajna, 209 kcal, 17.6 g, 15.6 g, 0.0 g
Kiełbasa Zywiecka, 315 kcal, 20.3 g, 26.3 g, 0.0 g
Kisiel porzeczkowyy, 88 kcal, 0.3 g, 0.1 g, 23.3 g
Kisiel waniliowy, 121 kcal, 3.3 g, 4.5 g, 16.6 g
Kiszkajęczmienna, 194 kcal, 8.5 g, 12.6 g, 13.0 g
Kiszka krwista, 404 kcal, 14.2 g, 35.0 g, 9.2 g
Kiszka pasztetowa, 384 kcal, 12.5 g, 35.7 g, 4.3 g
KiWi, 56 kcal, 0.9 g, 0.5 g, 13.9 g
KiWi. dżem niskosł., 154 kcal, 0.4 g, 0.2 g, 37.8 g
Klopsiki cielęce mielone, 250 kcal, 16.2 g, 14.6 g, 14.3 g
Klopsiki mielone, 272 kcal, 13.5 g, 17.5 g, 15.9 g
Kluski kładzione, 165 kcal, 5.1 g, 1.3 g, 33.8 g
Kluski lane, 93 kcal, 4.1 g, 2.0 g, 14.9 g
Kluski lane na mleku, 70 kcal, 3.6 g, 3.1 g, 6.8 g
Kluski śląskie, 169 kcal, 2.6 g, 3.8 g, 32.1 g
Knedle ze śliwkami, 161 kcal, 2.7 g, 5.9 g, 25.8 g
Kompot Zjabłek, 51 kcal, 0.2 g, 0.1 g, 13.2 g
Kompot Z Wiśni, 69 kcal, 0.2 g, 0.1 g, 16.9 g
Koncentrat pomid. 30%, 92 kcal, 5.6 g, 1.5 g, 16.2 g
Koper, 26 kcal, 2.8 g, 0.4 g, 6.1 g
Kopytka, 143 kcal, 4.0 g, 0.7 g, 31.2 g
Kotlet cielęcy panier., 365 kcal, 27.1 g, 21.3 g, 17.4 g
Kotlet drobiowy panier., 248 kcal, 19.7 g, 15.7 g, 7.6 g
Kotlet drobiowy soute, 241 kcal, 20.3 g, 16.5 g, 3.3 g
Kotlet drob. mielony, 382 kcal, 19.9 g, 27.8 g, 14.3 g
Kotlet mielony, 284 kcal, 13.0 g, 21.1 g, 11.8 g
Kotlet schabowy, 351 kcal, 19.0 g, 24.1 g, 15.9 g
Kotlety Zjaj, 275 kcal, 7.9 g, 22.7 g, 10.8 g
Kotlety Ziemniaczane, 241 kcal, 4.3 g, 12.8 g, 29.3 g
Krem Z Ziel. groszku, 63 kcal, 3.1 g, 3.8 g, 5.9 g
Królik. tuSZka, 156 kcal, 21.0 g, 8.0 g, 0.0 g
Krupnik Z kaszy gryCZ., 43 kcal, 1.7 g, 1.2 g, 7.2 g
Krupnik Z kaszyjęcz., 40 kcal, 1.5 g, 0.9 g, 7.4 g
Krupnik Z ryżu, 43 kcal, 1.5 g, 1.1 g, 7.6 g
Kukurydza, 110 kcal, 3.7 g, 1.5 g, 23.4 g
Kukurydza konserwowa, 102 kcal, 2.9 g, 1.2 g, 23.6 g
Kura W galarecie, 192 kcal, 27.3 g, 8.9 g, 1.2 g
Kura. tuSZka, 202 kcal, 18.5 g, 14.3 g, 0.0 g
Kurczak faSZ. pieczony, 199 kcal, 20.5 g, 11.9 g, 2.8 g
Kurczak gotowany W jarZ., 99 kcal, 7.6 g, 6.4 g, 4.6 g
Kurczak pieczony, 179 kcal, 16.4 g, 12.7 g, 0.1 g
Kurczak. piersi, 99 kcal, 21.5 g, 1.3 g, 0.0 g
Kurczak. udko, 158 kcal, 16.8 g, 10.2 g, 0.0 g
Kurczak. skrzydełko, 186 kcal, 19.2 g, 12.2 g, 0.0 g
Kurczak. tuSZka, 158 kcal, 18.6 g, 9.3 g, 0.0 g
Kurczak. wątróbka, 136 kcal, 19.1 g, 6.3 g, 0.6 g
Kurczak. Zoładek, 114 kcal, 18.2 g, 4.2 g, 0.6 g
Kurka świeża. grzyb, 23 kcal, 1.0 g, 0.4 g, 3.8 g
Kuropatwa. tuSZka, 112 kcal, 24.3 g, 1.4 g, 0.5 g
Landrynki Brando, 390 kcal, 0.0 g, 0.0 g, 96.6 g
Likier Advocat, 280 kcal, 4.4 g, 6.0 g, 28.4 g
Likier Curacao, 319 kcal, 0.0 g, 0.0 g, 27.6 g
Lody bajaliowe, 133 kcal, 2.2 g, 7.2 g, 14.6 g
Lody czekoladowe, 128 kcal, 2.1 g, 6.1 g, 16.1 g
Lody orzechowe, 135 kcal, 2.4 g, 8.0 g, 13.4 g
Lody owocowe, 114 kcal, 1.5 g, 5.3 g, 15.0 g
Lody śmietankowe, 135 kcal, 1.7 g, 7.6 g, 15.2 g
Lody waniliowe, 120 kcal, 1.8 g, 6.5 g, 13.6 g
Łopatka barania, 287 kcal, 15.5 g, 25.0 g, 0.0 g
Łopatka cielęca, 105 kcal, 19.5 g, 25.0 g, 0.0 g
Łopatka wieprzowa, 259 kcal, 16.0 g, 21.7 g, 0.0 g
Łosoś smażony saute, 379 kcal, 21.1 g, 31.4 g, 4.1 g
Łosoś świeży, 201 kcal, 19.9 g, 13.6 g, 0.0 g
